iter	MultiClass
0	1.532752911
1	1.481862259
2	1.443637986
3	1.415698567
4	1.393354294
5	1.374140084
6	1.3594441
7	1.3457613
8	1.335188878
9	1.327596573
10	1.32048176
11	1.312088884
12	1.306617743
13	1.300561954
14	1.296970789
15	1.289685288
16	1.284444725
17	1.278151912
18	1.272871791
19	1.269315855
20	1.262945348
21	1.258859467
22	1.253977303
23	1.249724676
24	1.245961324
25	1.239418429
26	1.236406881
27	1.233344586
28	1.226398845
29	1.221539568
30	1.218057486
31	1.213771185
32	1.208741532
33	1.20469127
34	1.200580474
35	1.197715382
36	1.195444183
37	1.190590405
38	1.186442929
39	1.182679605
40	1.178864091
41	1.172641088
42	1.169487506
43	1.162120074
44	1.158087524
45	1.154260363
46	1.152173995
47	1.149173168
48	1.145003848
49	1.141583422
50	1.1348082
51	1.131396777
52	1.128684199
53	1.124964568
54	1.119036782
55	1.113540604
56	1.109255796
57	1.106580018
58	1.104571321
59	1.100696917
60	1.097554101
61	1.093697536
62	1.091550403
63	1.087631939
64	1.08364575
65	1.080874022
66	1.076771313
67	1.072062998
68	1.067585396
69	1.063729369
70	1.06098412
71	1.058598437
72	1.055461872
73	1.049620193
74	1.046085473
75	1.04335883
76	1.04015952
77	1.036047851
78	1.033307431
79	1.030655243
80	1.026724465
81	1.02395987
82	1.018065265
83	1.015184327
84	1.012266321
85	1.008431438
86	1.006174502
87	1.001784261
88	0.9973183284
89	0.9934052771
90	0.9911537364
91	0.9858857947
92	0.9815437461
93	0.9778946032
94	0.9748254399
95	0.9717485179
96	0.9684998566
97	0.96621168
98	0.9616281354
99	0.9575523991
100	0.9559099906
101	0.9541858098
102	0.9521593139
103	0.9506958858
104	0.9479478614
105	0.9455766471
106	0.9429247136
107	0.9413105401
108	0.9373217075
109	0.933695374
110	0.9308931671
111	0.9290236704
112	0.9263395566
113	0.9236905805
114	0.9209565267
115	0.9197257646
116	0.9177117334
117	0.9150136338
118	0.9116381801
119	0.9089896052
120	0.9045795153
121	0.9023230964
122	0.8996116261
123	0.8961966499
124	0.8914618951
125	0.8879467514
126	0.8853287769
127	0.8827561888
128	0.8796425325
129	0.8766811688
130	0.8745209445
131	0.8726769616
132	0.8691611612
133	0.8655509725
134	0.8620555131
135	0.8573701165
136	0.8538389748
137	0.8511455636
138	0.8499220241
139	0.8473904088
140	0.8449550583
141	0.8415368918
142	0.8385777795
143	0.8364206204
144	0.8342981246
145	0.8302210218
146	0.8276751825
147	0.8248259387
148	0.8213010477
149	0.8197040668
150	0.8174784794
151	0.8155423642
152	0.8141722235
153	0.8117094348
154	0.8098789208
155	0.8077222354
156	0.8057907294
157	0.8039855505
158	0.8018246016
159	0.7999754892
160	0.7961890492
161	0.7937255835
162	0.7914770125
163	0.7893972203
164	0.7855672258
165	0.7830458598
166	0.7815051868
167	0.7796382524
168	0.7776640652
169	0.7748331543
170	0.773058331
171	0.7708391702
172	0.7688327979
173	0.7674029991
174	0.7655243603
175	0.7637089585
176	0.7603546609
177	0.7576856092
178	0.7562051843
179	0.7525399928
180	0.7509806344
181	0.7480805216
182	0.7454618663
183	0.7440582766
184	0.7426137378
185	0.7407226956
186	0.7373361509
187	0.7354538526
188	0.731216481
189	0.7280202824
190	0.7258483612
191	0.7237203475
192	0.7206843366
193	0.7169410929
194	0.7144247494
195	0.7129391523
196	0.7107815122
197	0.709628368
198	0.7078259805
199	0.7050548156
200	0.703227661
201	0.6999884812
202	0.6978115508
203	0.6954074773
204	0.6932970343
205	0.6919755579
206	0.6907852352
207	0.6893086054
208	0.6875337523
209	0.6858783566
210	0.6828646997
211	0.6807419453
212	0.6787476276
213	0.6756829601
214	0.6722065357
215	0.6703855627
216	0.6681882215
217	0.6663496257
218	0.6644693614
219	0.6620359325
220	0.660307362
221	0.659208366
222	0.6555676076
223	0.6539167097
224	0.6517895002
225	0.6500431835
226	0.6486127555
227	0.645932476
228	0.6440599502
229	0.6431635586
230	0.641379258
231	0.6397336369
232	0.6379645194
233	0.6361371258
234	0.6344827633
235	0.6324781781
236	0.6298706738
237	0.6289846348
238	0.6274380706
239	0.6259459614
240	0.6239131992
241	0.6222014868
242	0.6204260624
243	0.6188374304
244	0.6169587962
245	0.6146175045
246	0.6137549327
247	0.6122862249
248	0.6099272166
249	0.6092065607
250	0.6076949259
251	0.6058255198
252	0.603672846
253	0.6022064268
254	0.6004901772
255	0.5994586732
256	0.5980362143
257	0.5972225695
258	0.5958121872
259	0.5945061419
260	0.5926946039
261	0.5908598847
