iter	Passed	Remaining
0	79	20760
1	123	16104
2	157	13575
3	184	11888
4	214	11006
5	246	10519
6	293	10676
7	319	10154
8	354	9973
9	398	10039
10	430	9830
11	462	9627
12	497	9526
13	520	9219
14	593	9779
15	661	10177
16	741	10682
17	797	10812
18	946	12108
19	1067	12916
20	1164	13369
21	1346	14688
22	1461	15190
23	1518	15055
24	1642	15566
25	1736	15758
26	1816	15807
27	1901	15891
28	1958	15737
29	1988	15374
30	2011	14989
31	2034	14624
32	2070	14365
33	2092	14034
34	2116	13728
35	2141	13446
36	2269	13800
37	2300	13559
38	2333	13343
39	2363	13116
40	2432	13111
41	2542	13317
42	2595	13221
43	2629	13029
44	2658	12818
45	2682	12595
46	2713	12414
47	2735	12197
48	2758	11990
49	2784	11807
50	2808	11618
51	2826	11416
52	2848	11233
53	2873	11069
54	2893	10890
55	2924	10757
56	2957	10638
57	2981	10486
58	3002	10329
59	3024	10182
60	3045	10033
61	3064	9885
62	3086	9750
63	3114	9636
64	3142	9522
65	3163	9393
66	3185	9270
67	3211	9163
68	3242	9069
69	3269	8968
70	3292	8857
71	3311	8738
72	3332	8627
73	3351	8513
74	3371	8406
75	3393	8304
76	3413	8201
77	3434	8101
78	3453	8000
79	3474	7903
80	3493	7807
81	3518	7722
82	3542	7639
83	3569	7563
84	3600	7496
85	3641	7452
86	3663	7369
87	3682	7280
88	3711	7214
89	3733	7135
90	3752	7051
91	3776	6979
92	3796	6898
93	3817	6822
94	3836	6744
95	3857	6671
96	3882	6603
97	3900	6527
98	3921	6456
99	3939	6381
100	3957	6309
101	3978	6240
102	3996	6169
103	4014	6098
104	4037	6037
105	4062	5978
106	4084	5916
107	4109	5859
108	4154	5832
109	4189	5789
110	4251	5783
111	4275	5726
112	4301	5671
113	4329	5620
114	4354	5565
115	4377	5509
116	4408	5463
117	4447	5428
118	4510	5420
119	4559	5394
120	4617	5381
121	4666	5354
122	4688	5298
123	4710	5242
124	4736	5191
125	4766	5144
126	4793	5095
127	4815	5041
128	4837	4987
129	4858	4932
130	4879	4879
131	4898	4823
132	4920	4772
133	4944	4723
134	4967	4673
135	4990	4623
136	5012	4573
137	5032	4521
138	5057	4475
139	5085	4431
140	5103	4379
141	5123	4329
142	5180	4311
143	5248	4301
144	5284	4263
145	5324	4230
146	5347	4183
147	5366	4133
148	5387	4085
149	5406	4036
150	5424	3987
151	5443	3939
152	5465	3893
153	5506	3861
154	5529	3817
155	5558	3777
156	5582	3733
157	5602	3688
158	5624	3643
159	5643	3597
160	5663	3552
161	5685	3509
162	5706	3465
163	5725	3421
164	5746	3378
165	5765	3334
166	5787	3292
167	5811	3251
168	5834	3210
169	5855	3169
170	5877	3127
171	5898	3086
172	5928	3049
173	5946	3007
174	5965	2965
175	5986	2925
176	6006	2884
177	6025	2843
178	6048	2804
179	6070	2765
180	6088	2724
181	6109	2685
182	6127	2645
183	6146	2605
184	6162	2564
185	6180	2525
186	6202	2487
187	6224	2450
188	6243	2411
189	6264	2373
190	6285	2336
191	6307	2299
192	6328	2262
193	6355	2227
194	6377	2191
195	6396	2153
196	6415	2116
197	6435	2080
198	6457	2044
199	6478	2008
200	6501	1973
201	6527	1938
202	6556	1905
203	6578	1870
204	6599	1834
205	6619	1799
206	6637	1763
207	6656	1728
208	6678	1693
209	6697	1658
210	6725	1625
211	6777	1598
212	6813	1567
213	6834	1533
214	6855	1498
215	6876	1464
216	6895	1430
217	6913	1395
218	6932	1361
219	6951	1327
220	6970	1293
221	6988	1259
222	7015	1226
223	7039	1194
224	7064	1161
225	7083	1128
226	7103	1095
227	7121	1061
228	7148	1030
229	7176	998
230	7195	965
231	7225	934
232	7246	901
233	7266	869
234	7284	836
235	7303	804
236	7323	772
237	7346	740
238	7371	709
239	7391	677
240	7410	645
241	7432	614
242	7454	582
243	7475	551
244	7497	520
245	7524	489
246	7548	458
247	7571	427
248	7601	396
249	7642	366
250	7701	337
251	7751	307
252	7786	276
253	7816	246
254	7848	215
255	7873	184
256	7891	153
257	7911	122
258	7932	91
259	7951	61
260	7970	30
261	7990	0
